1736,喬山,57.8,57.8
1737,臺鹽,33.2,33.2
1760,寶齡富錦,70.2,70.2
1762,中化生,65.9,65.4
1773,勝一,137.5,137.5
1776,展宇,21.3,21.3
1783,和康生,58,58
1786,科妍,50.2,49.55
1789,神隆,23.95,23.9
1795,美時,102,102
1802,台玻,26.35,26.35
1805,寶徠,13.75,13.55
1806,冠軍,11.25,11.2
1808,潤隆,59.1,59
1809,中釉,13.85,13.85
1810,和成,16,16
1817,凱撒衛,36.5,36.5
1903,士紙,65.9,65.9
1904,正隆,33.8,33.8
1905,華紙,23.5,23.5
1906,寶隆,19.9,19.9
1907,永豐餘,34.4,34.35
1909,榮成,24.55,24.5
2002,中鋼,33.9,33.85
2002A,中鋼特,52.2,52
2007,燁興,20.8,20.8
2008,高興昌,19.5,19.4
2009,第一銅,42.9,42.85
2010,春源,22,22
2012,春雨,29.95,29.95
2013,中鋼構,54.3,54.3
2014,中鴻,36.2,36.15
2015,豐興,78.7,78.7
2017,官田鋼,19.9,19.9
2020,美亞,31.95,31.95
2022,聚亨,13.7,13.7
2023,燁輝,24,23.9
2024,志聯,19.95,19.95
2025,千興,5.3,5.3
2027,大成鋼,46.3,46.25
2028,威致,41.05,41.05
2029,盛餘,32.3,32.3
2030,彰源,30.55,30.55
2031,新光鋼,57.3,57.3
2032,新鋼,23.25,23.2
2033,佳大,17.25,17.15
2034,允強,31.6,31.55
2038,海光,34.6,34.6
2049,上銀,285,285
2059,川湖,470,470
2062,橋椿,27.1,27.1
2069,運錩,35.1,35.1
2101,南港,38.5,38.25
2102,泰豐,27.4,27.35
2103,台橡,32.7,32.7
2104,國際中橡,25.4,25.4
2105,正新,34.1,34.05
2106,建大,29.7,29.65
2107,厚生,22.65,22.6
2108,南帝,85.2,85.2
2109,華豐,16.45,16.35
2114,鑫永銓,118,117.5
2115,六暉-KY,39.35,39.3
2201,裕隆,41.3,41.25
2204,中華,65,65
2206,三陽工業,26.15,26.15
2207,和泰車,624,620
2208,台船,21.85,21.85
2211,長榮鋼,52.7,52.7
2227,裕日車,247,247
2228,劍麟,67,67
2231,為升,179,178.5
2233,宇隆,94.8,94.8
2236,百達-KY,26.4,26.4
2239,英利-KY,81.2,81.2
2241,艾姆勒,51.3,51.2
2243,宏旭-KY,18.25,18.25
2247,汎德永業,209.5,209.5
2250,IKKA-KY,106.5,106.5
2301,光寶科,60.5,60.5
2302,麗正,17.05,17.05
2303,聯電,66.7,66.7
2305,全友,8.81,8.81
2308,台達電,261.5,261
2312,金寶,13.05,13.05
2313,華通,40.55,40.55
2314,台揚,77,77
2316,楠梓電,29.2,29.05
2317,鴻海,105,105
2321,東訊,--,6.15
2323,中環,8.94,8.93
2324,仁寶,23.35,23.35
2327,國巨,465,464.5
2328,廣宇,37.85,37.85
2329,華泰,25.55,25.55
2330,台積電,615,614
2331,精英,23.35,23.35
2332,友訊,18.1,18.1
2337,旺宏,42.55,42.55
2338,光罩,99.6,99.6
2340,光磊,58.9,58.8
2342,茂矽,48.4,48.35
2344,華邦電,31.75,31.75
2345,智邦,284,284
2347,聯強,59.5,59.4
2348,海悅,103,103
2348A,海悅甲特,37.7,37.65
2349,錸德,9.15,9.15
2351,順德,155,155
2352,佳世達,29.25,29.25
2353,宏碁,28.1,28.1
2354,鴻準,64.3,64.2
2355,敬鵬,36.25,36.25
2356,英業達,25.55,25.5
2357,華碩,363.5,363.5
2358,廷鑫,21.4,21.35
2359,所羅門,17.25,17.2
2360,致茂,181,180.5
2362,藍天,31.3,31.3
2363,矽統,26.05,26.05
2364,倫飛,20.45,20.1
2365,昆盈,10.85,10.8
2367,燿華,18.35,18.35
2368,金像電,73.4,73.4
2369,菱生,26.95,26.9
2371,大同,34,33.95
2373,震旦行,89.6,89.6
2374,佳能,23.05,23.05
2375,凱美,113,113
2376,技嘉,136.5,136.5
2377,微星,161,161
2379,瑞昱,554,553
2380,虹光,13.2,13.2
2382,廣達,87.9,87.9
2383,台光電,269,268.5
2385,群光,80.9,80.8
2387,精元,45.9,45.85
2388,威盛,87.6,87.6
2390,云辰,21.1,21.1
2392,正崴,38,38
2393,億光,51,50.9
2395,研華,379.5,379.5
2397,友通,58.2,57.9
2399,映泰,23.2,23.2
2401,凌陽,40.3,40.25
2402,毅嘉,16.45,16.45
2404,漢唐,179,178.5
2405,浩鑫,13,12.95
2406,國碩,24.75,24.7
2408,南亞科,79.8,79.7
2409,友達,20.5,20.5
2412,中華電,114,113.5
2413,環科,22.3,22.3
2414,精技,38.95,38.95
2415,錩新,46.8,46.8
2417,圓剛,24.7,24.7
2419,仲琦,24.4,24.4
2420,新巨,45.9,45.9
2421,建準,41.8,41.8
2423,固緯,28.15,28.15
2424,隴華,21.6,21.15
2425,承啟,27.3,27.3
2426,鼎元,27.65,27.65
2427,三商電,11.05,11
2428,興勤,150,150
2429,銘旺科,25,24.95
2430,燦坤,40.3,40.25
2431,聯昌,12.9,12.9
2433,互盛電,51.4,51.1
2434,統懋,39.5,40.4
2436,偉詮電,96,96
2438,翔耀,13.95,13.95
2439,美律,96,95.9
2440,太空梭,16.35,16.3
2441,超豐,78.2,78.1
2442,新美齊,11.25,11.25
2443,億麗,2.97,2.97
2444,兆勁,11.85,11.85
2449,京元電子,43.7,43.7
2450,神腦,33.1,32.95
2451,創見,69.8,69.8
2453,凌群,26.4,26.4
2454,聯發科,"1,080.00","1,075.00"
2455,全新,144.5,144
2456,奇力新,91.4,91.4
2457,飛宏,35.65,35.65
2458,義隆,161,161
2459,敦吉,58.8,58.8
2460,建通,26.75,26.75
2461,光群雷,22.7,22.7
2462,良得電,27.75,27.75
2464,盟立,41.95,41.95
2465,麗臺,74.4,74.4
2466,冠西電,36.2,36.05
2467,志聖,50.7,50.6
2468,華經,13.1,13.05
2471,資通,25.05,25.05
2472,立隆電,68.6,68.6
2474,可成,149,149
2476,鉅祥,60.7,60.7
2477,美隆電,31.1,31.1
2478,大毅,66.3,66.3
2480,敦陽科,72,71.9
2481,強茂,107,107
2482,連宇,14.2,14.2
2483,百容,23.75,23.7
2484,希華,40.25,40.25
2485,兆赫,20.8,20.75
2486,一詮,53.6,53.5
2488,漢平,27.05,27.05
2489,瑞軒,18,18
2491,吉祥全,21.5,21.5
2492,華新科,171,171
2493,揚博,37.6,37.6
2495,普安,15,14.95
2496,卓越,49.4,49.35
2497,怡利電,65.8,65.7
2498,宏達電,80.2,80.2
2501,國建,19.5,19.5
2504,國產,26.7,26.65
2505,國揚,23.75,23.7
2506,太設,9.76,9.73
2509,全坤建,18.25,18.2
2511,太子,13.05,13.05
2514,龍邦,17.95,17.9
2515,中工,8.75,8.75
2516,新建,6.03,6.02
2520,冠德,38.6,38.55
2524,京城,42.25,42.2
2527,宏璟,32.45,32.35
2528,皇普,21.5,21.5
2530,華建,14.6,14.55
2534,宏盛,22.6,22.5
2535,達欣工,32.3,32.25
2536,宏普,22.45,22.45
2537,聯上發,10.45,10.4
2538,基泰,14.25,14.25
2539,櫻花建,31.15,31.1
2540,愛山林,74.8,74.3
2542,興富發,46.3,46.25
2543,皇昌,7.66,7.53
2545,皇翔,37,37
2546,根基,49.7,49.7
2547,日勝生,10.05,10
2548,華固,91.7,91.7
2597,潤弘,120.5,120.5
2601,益航,13.4,13.4
2603,長榮,133,133
2605,新興,29.4,29.4
2606,裕民,56.4,56.4
2607,榮運,29.7,29.7
2608,嘉里大榮,44.85,44.85
2609,陽明,122,122
2610,華航,26.1,26.1
2611,志信,20.3,20.3
2612,中航,58.5,58.5
2613,中櫃,26.7,26.65
2614,東森,32.4,32.4
2615,萬海,169.5,169.5
2616,山隆,36.1,36.1
2617,台航,38.05,38.05
2618,長榮航,25,25
2630,亞航,18.75,18.75
2633,台灣高鐵,29.9,29.75
2634,漢翔,29.05,29
2636,台驊投控,144,143.5
2637,慧洋-KY,74.9,74.9
2642,宅配通,74.6,74.5
2701,萬企,12.2,12.15
2702,華園,25.85,25.8
